source_id,source,tf_id,restaurant_url,restaurant_name,latitude,longitude,address,street,house_number,postal_code,city,rating,review_count,has_rating,has_review_count,low_review,avg_price_eur,discount_pct,has_discount,cuisines,dietary_options,has_hours,photo_count,has_reviews,sample_size,sample_avg_rating,rating_sample_divergent,flags
braci-e-taci-r746507,thefork,746507,https://www.thefork.it/ristorante/braci-e-taci-r746507,Braci e Taci,45.4904061,9.100757,"Piazza Rosa Scolari, 3, Milano, 20151, Italia",Piazza Rosa Scolari,3,20151,Milano,9.2,666,1,1,0,15,30,1,"['Americano', 'Campano', 'Pizzeria', 'Steakhouse', 'Europeo', 'Italiano', 'Di Carne']","['gluten_free', 'vegan', 'vegetarian']",0,16,1,5,9.0,0,[]
brera-29-cucina-cocktails-r701637,thefork,701637,https://www.thefork.it/ristorante/brera-29-cucina-cocktails-r701637,Brera 29 Cucina & Cocktails,45.4727377,9.1873853,"Via Brera, 29, Milano, 20121, Italia",Via Brera,29,20121,Milano,8.7,205,1,1,0,50,,0,['Italiano'],[],1,39,1,5,8.8,0,[]
brigante-restaurant-r818971,thefork,818971,https://www.thefork.it/ristorante/brigante-restaurant-r818971,Brigante Restaurant,45.4764456,9.1720415,"Piazza Sempione, 8, Milano, 20154, Italia",Piazza Sempione,8,20154,Milano,7.4,48,1,1,0,37,20,1,"['Italiano', 'Mediterraneo', 'Europeo']",['vegetarian'],1,17,1,5,5.1,1,['rating_sample_divergent']
burger-room-r842840,thefork,842840,https://www.thefork.it/ristorante/burger-room-r842840,Burger Room,45.49011415520213,9.164611514120864,"Via Principe Eugenio, 23, Milano, 20155, Italia",Via Principe Eugenio,23,20155,Milano,8.9,88,1,1,0,22,30,1,['Cucina internazionale'],[],0,31,1,5,9.2,0,[]
caffe-bistrot-andrea-aprea-r725805,thefork,725805,https://www.thefork.it/ristorante/caffe-bistrot-andrea-aprea-r725805,Caffè/Bistrot Andrea Aprea,45.4733164,9.2043276,"Corso Venezia, 52, Milano, 20122, Italia",Corso Venezia,52,20122,Milano,9.4,228,1,1,0,45,,0,['Italiano'],[],1,51,1,5,9.0,0,[]
cardinale-by-fratelli-massari-r852485,thefork,852485,https://www.thefork.it/ristorante/cardinale-by-fratelli-massari-r852485,Cardinale by fratelli massari,45.4617076,9.2001265,"Via Carlo Freguglia, 2, Milano, 20122, Italia",Via Carlo Freguglia,2,20122,Milano,8.8,24,1,1,0,32,30,1,['Italiano'],[],0,31,1,5,8.4,0,[]
casa-artiano-r849121,thefork,849121,https://www.thefork.it/ristorante/casa-artiano-r849121,Casa Artiano,45.4622925,9.1876754,"Via Falcone, 7, Milano, 20123, Italia",Via Falcone,7,20123,Milano,8.7,40,1,1,0,23,20,1,['Napoletano'],[],0,18,1,5,9.0,0,[]
casa-chapiso-milano-r841537,thefork,841537,https://www.thefork.it/ristorante/casa-chapiso-milano-r841537,Casa Chapiso Milano,45.4894348,9.182143,"Via Valtellina, 4, Milano, 20159, Italia",Via Valtellina,4,20159,Milano,8.3,36,1,1,0,34,,1,"['Italiano', 'Europeo']",['vegetarian'],0,37,1,5,8.8,0,[]
casa-creanza-r716849,thefork,716849,https://www.thefork.it/ristorante/casa-creanza-r716849,Casa Creanza,45.4553694,9.1670977,"Via Savona, 20, Milano, 20144, Italia",Via Savona,20,20144,Milano,9.1,1481,1,1,0,25,30,1,['Italiano'],[],1,60,1,5,9.1,0,[]
casa-curci-r837811,thefork,837811,https://www.thefork.it/ristorante/casa-curci-r837811,Casa Curci,45.4544962,9.1988428,"Corso di Porta Romana, 103, Milano, 20122, Italia",Corso di Porta Romana,103,20122,Milano,9.1,796,1,1,0,23,30,1,"['Italiano', 'Europeo']",['vegetarian'],0,16,1,5,9.6,0,[]
casa-giuditta-r851022,thefork,851022,https://www.thefork.it/ristorante/casa-giuditta-r851022,Casa Giuditta,45.46937390742068,9.22243846315153,"Via Carlo Goldoni, Milano, 20129, Italia",Via Carlo Goldoni,,20129,Milano,8.7,53,1,1,0,26,,0,['Italiano'],[],0,29,1,5,7.7,0,[]
casa-tua-osteria-r218501,thefork,218501,https://www.thefork.it/ristorante/casa-tua-osteria-r218501,Casa Tua Osteria,45.451961,9.2050804,"Via Lodovico Muratori, 10, Milano, 20135, Italia",Via Lodovico Muratori,10,20135,Milano,8.7,758,1,1,0,25,30,1,"['Toscano', 'Di Carne']",[],1,15,1,5,8.3,0,[]
chateau-dufan-r341471,thefork,341471,https://www.thefork.it/ristorante/chateau-dufan-r341471,Chateau dufan,45.4821342,9.181207,"Piazzale Antonio Baiamonti, 1, Milano, 20154, Italia",Piazzale Antonio Baiamonti,1,20154,Milano,8.7,930,1,1,0,25,,0,['Cinese'],[],1,42,1,5,8.2,0,[]
chinese-township-168-r489977,thefork,489977,https://www.thefork.it/ristorante/chinese-township-168-r489977,Chinese Township 168,45.4968834,9.1809093,"Viale Edoardo Jenner, 29, Milano, 20158, Italia",Viale Edoardo Jenner,29,20158,Milano,,436,0,1,0,28,20,1,['Orientale'],[],1,40,1,5,8.2,0,['no_rating']
chuangxiangshifu-ristorante-cinese-r825508,thefork,825508,https://www.thefork.it/ristorante/chuangxiangshifu-ristorante-cinese-r825508,Chuangxiangshifu - Ristorante cinese,45.489402,9.2052832,"Via Giovanni Schiaparelli, 3, Milano, 20125, Italia",Via Giovanni Schiaparelli,3,20125,Milano,7.2,4,1,1,1,20,,0,['Asiatico'],[],1,4,0,0,,0,['low_review']
churraskinho-milano-navigli-r848999,thefork,848999,https://www.thefork.it/ristorante/churraskinho-milano-navigli-r848999,Churraskinho Milano Navigli,45.4487452,9.1617127,"Ripa di Porta Ticinese, 107, Milano, 20143, Italia",Ripa di Porta Ticinese,107,20143,Milano,7.3,22,1,1,0,40,30,1,['Brasiliano'],[],0,6,1,5,4.6,1,['rating_sample_divergent']
