source,record_id,issue_type,field,value,detail
Google Places,ChIJ01eULQDEhkcRxFnbToRRY0o,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ01hPHwDBhkcRyR8Nv-MbA0g,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ01hPHwDBhkcRyR8Nv-MbA0g,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ02-hN6_GhkcRgjsYsX4Yo5U,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ02-hN6_GhkcRgjsYsX4Yo5U,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ02QSGADBhkcRsfrjovNU7Xw,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ02QSGADBhkcRsfrjovNU7Xw,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ02vjXdjBhkcRY9i8oLt-5HY,low_review_count,review_count,1,Review count is below 20; ratings are less reliable.
Google Places,ChIJ05O1MgDBhkcRPnzuP80PxIk,low_review_count,review_count,16,Review count is below 20; ratings are less reliable.
Google Places,ChIJ061QFADBhkcRqrL_IToycXQ,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ061QFADBhkcRqrL_IToycXQ,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ06Txhf_AhkcRvAHXyUPktbY,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ06Txhf_AhkcRvAHXyUPktbY,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ06cdBwDBhkcR5RUIc64kWwo,low_review_count,review_count,11,Review count is below 20; ratings are less reliable.
Google Places,ChIJ07dWm_bHhkcRJaVK7KBb348,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ07dWm_bHhkcRJaVK7KBb348,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ081RLbDBhkcRCBVLfndzaHE,low_review_count,review_count,1,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0RbTDaTBhkcRIS-kSxMhRxU,low_review_count,review_count,5,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0RboBxXHhkcRKrzmdo2Jts0,low_review_count,review_count,5,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0Ry-2O7BhkcRzzJIhuHR7co,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ0Ry-2O7BhkcRzzJIhuHR7co,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ0ULd2lPBhkcRUWfk_S9d33U,low_review_count,review_count,3,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0UNES-LAhkcREdhdnSXN4-4,low_review_count,review_count,4,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0VYhtQLEhkcRwXuL1CiOTUY,low_review_count,review_count,2,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0WUcBpjGhkcRdTEc_gQtb6U,low_review_count,review_count,7,Review count is below 20; ratings are less reliable.
Google Places,ChIJ0XFAYgDHhkcRLVTLDC0vKPk,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ0XFAYgDHhkcRLVTLDC0vKPk,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
