zone,restaurants,mean_platform_count,pct_has_website,pct_has_cuisine,pct_on_tripadvisor,pct_on_thefork,median_google_reviews
center,2663.0,1.67,71.2,48.3,53.1,13.9,269.0
periphery,5785.0,1.53,58.8,37.1,43.3,9.3,161.0
